campus,area_shortname,area,AI & Data Science,HCI & Spatial Computing,Social & Community Informatics,BMEI,Foundations,Systems & Infrastructure,Cybersecurity,Engineering
IUB,HCI,Human Computer interaction,0,7,2,0,1,0,0,0
IUB,Comp Neuro,Computational neuroscience,3,0,0,5,2,0,0,0
IUB,Cognitive,Cognitive models,5,1,0,1,3,0,0,0
IUB,Algo,Algorithms,0,0,0,0,10,0,0,0
IUB,Vir her,Virtual Heritage,0,2,6,0,0,2,0,0
IUB,Network,"Network Science, information dissemination",0,0,2,0,5,3,0,0
IUB,PL,Programming Languages,0,0,0,0,7,3,0,0
IUB,Security soc.,Social aspects of security,0,0,4,0,0,0,6,0
IUB,AI Appl,AI Applications,5,0,0,2,0,2,0,1
IUB,Applied theory,Theory for other areas,0,0,1,1,5,2,0,1
IUB,Quantum,Quantum,1,0,0,0,6,2,0,1
IUB,Biomed ,Biomedical imaging,0,0,0,6,0,2,0,2
IUB,DS,Big data,6,0,0,2,0,2,0,0
IUB,Par/Dist,Parallel / distributed computing,0,0,0,0,3,5,0,2
IUB,HPC,High Performance Computing,0,0,0,0,1,6,0,3
IUB,CPS,Cyber Physical Systems,2,0,0,2,0,2,0,4
IUB,Robotics,Robotics,3,0,0,0,2,0,0,5
IUB,Comp eng,Computer Engineering,0,0,0,0,2,3,0,5
IUB,Unmanned,Unmanned vehicles,2,0,0,0,0,2,0,6
IUB,Micro/nano,Micro/nano/materials,0,0,0,1,0,3,0,6
IUB/IUI,"Lib, arch","Library, archives, learning",2,0,6,0,2,0,0,0
IUB/IUI,Crypto,Cryptography,0,0,0,0,4,0,6,0
IUB/IUI,Cyber app,Cybersecurity applications,0,0,0,0,0,4,6,0
IUI,AI health,AI for healthcare,6,0,1,3,0,0,0,0
IUI,HCI health,HCI for healthcare,0,6,1,3,0,0,0,0
IUI,AI brain,AI in brain data analytics,6,0,0,4,0,0,0,0
IUI,HCI accessibility,HCI for accessibility,0,6,3,0,0,1,0,0
IUI,Viz,Visualization & visual analytics,2,5,0,2,0,1,0,0
IUI,VRXR,VR for Cognitive Rehabilitation & Social Skill Development & digital media,0,5,0,3,0,2,0,0
IUI,Polis,The Polis Center,2,0,5,0,0,3,0,0
IUI,Data infra.,Data infrastructure,3,0,2,0,0,5,0,0
IUI,Software,Software engineering,0,0,0,0,0,8,0,2
IUI,INDI,Integrated Nanosystems Development Institute (INDI),0,0,0,7,0,0,0,3
IUB/IUI,CV & imge analysis,Medical image analysis & Computer Vision,5,2,0,3,0,0,0,0
IUB/IUI,Bioinfo.,Bioinformatics,3,0,0,7,0,0,0,0
IUB/IUI,ML,Machine learning & data mining,7,0,0,0,3,0,0,0
IUB/IUI,Education,Education research,2,0,3,0,5,0,0,0
IUB/IUI,Trusted AI,Trusted AI,6,0,3,0,0,1,0,0
IUB/IUI,NLP,Natural language processing,6,0,0,0,2,2,0,0
