area,pi,url
Visualization & visual analytics,Shiaofen Fang,https://luddy.indianapolis.iu.edu/contact/profile/shiaofen-fang
Visualization & visual analytics,Francesco Cafaro,https://luddy.indianapolis.iu.edu/contact/profile/francesco-cafaro
Medical imaging & Computer Vision,Rakesh Shiradkar,https://luddy.indianapolis.iu.edu/contact/profile/rakesh-shiradkar
Medical imaging & Computer Vision,Shiaofen Fang,https://luddy.indianapolis.iu.edu/contact/profile/shiaofen-fang
Medical imaging & Computer Vision,Mohamed Abdel-Mottaleb,https://luddy.indianapolis.iu.edu/contact/profile/mohamed-saeed-abdel-mottaleb
AI in brain data analytics,Jingwen Yan,https://luddy.indianapolis.iu.edu/contact/profile/jingwen-yan
AI in brain data analytics,Shiaofen Fang,https://luddy.indianapolis.iu.edu/contact/profile/shiaofen-fang
AI in brain data analytics,Lu Zhang,https://luddy.indianapolis.iu.edu/contact/profile/lu-zhang
Bioinformatics,Jingwen Yan,https://luddy.indianapolis.iu.edu/contact/profile/jingwen-yan
Bioinformatics,Sarath Chandra Janga,https://luddy.indianapolis.iu.edu/contact/profile/sarath-janga
Bioinformatics,Juexin Wang,https://luddy.indianapolis.iu.edu/contact/profile/juexin-wang
Bioinformatics,Bohdan Khomtchouk,https://luddy.indianapolis.iu.edu/contact/profile/bohdan-khomtchouk
Natural language processing,Ming Jiang ,https://luddy.indianapolis.iu.edu/contact/profile/ming-jiang
Natural language processing,Hyeju Jang,https://luddy.indianapolis.iu.edu/contact/profile/hyeju-jang
Natural language processing,Sunandan Chakraborty,https://luddy.indianapolis.iu.edu/contact/profile/sunandan-chakraborty
HCI for accessibility,Davide Bolchini,https://luddy.indianapolis.iu.edu/contact/profile/davide-bolchini
HCI for accessibility,Erin Brady,https://luddy.indianapolis.iu.edu/contact/profile/erin-brady
HCI for accessibility,Francesco Cafaro,https://luddy.indianapolis.iu.edu/contact/profile/francesco-cafaro
HCI for healthcare,Aqueasha Martin-Hammond,https://luddy.indianapolis.iu.edu/contact/profile/aqueasha-martin-hammond
HCI for healthcare,Andrew D. Miller,https://luddy.indianapolis.iu.edu/contact/profile/andrew-miller
HCI for healthcare,Saptarshi Purkayastha,https://luddy.indianapolis.iu.edu/contact/profile/saptarshi-purkayastha
HCI for healthcare,Karl F. MacDorman,https://luddy.indianapolis.iu.edu/contact/profile/karl-macdorman
HCI for healthcare,Hee-Tae Jung,https://luddy.indianapolis.iu.edu/contact/profile/hee-tae-jung
AI for healthcare,Saptarshi Purkayastha,https://luddy.indianapolis.iu.edu/contact/profile/saptarshi-purkayastha
AI for healthcare,Yan Zhuang,https://luddy.indianapolis.iu.edu/contact/profile/yan-zhuang
AI for healthcare,Lu Zhang,https://luddy.indianapolis.iu.edu/contact/profile/lu-zhang
AI for healthcare,Rakesh Shiradkar,https://luddy.indianapolis.iu.edu/contact/profile/rakesh-shiradkar
Trusted AI,Saptarshi Purkayastha,https://luddy.indianapolis.iu.edu/contact/profile/saptarshi-purkayastha
Trusted AI,Shiaofen Fang,https://luddy.indianapolis.iu.edu/contact/profile/shiaofen-fang
Trusted AI,Karl F. MacDorman,https://luddy.indianapolis.iu.edu/contact/profile/karl-macdorman
Trusted AI,Arjan Durresi,https://luddy.indianapolis.iu.edu/contact/profile/arjan-durresi
Machine learning & data mining,Mohammad Al Hasan,https://luddy.indianapolis.iu.edu/contact/profile/mohammad-al-hasan
